score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces,max_increase_unfairness_dp,avg_increase_unfairness_dp,max_increase_unfairness_cs,avg_increase_unfairness_cs
12,-16,-10,equal,eqopp,0.2525298228497548,0.2457273189686029,0.2416927436177927,30.68418583528792,29.72316411868175,28.470232739418435,49330.57142857143,7,0.010837079231962088,0.004034575350810199,2.213953095869485,1.252931379263316
16,-16,-10,equal,eqopp,0.2514854562402445,0.2453896544823229,0.2416927436177928,30.780589475939937,29.800176859986397,28.470232739418435,49560.5,8,0.009792712622451683,0.003696910864530084,2.310356736521502,1.329944120567962
16,-24,-10,equal,eqopp,0.254278289173608,0.2468395198892994,0.2416927436177927,30.990462764335497,29.927709165465775,28.470232739418435,49366.42857142857,7,0.012585545555815314,0.005146776271506698,2.520230024917062,1.4574764260473394
20,-24,-10,equal,eqopp,0.2544108634188846,0.2474762500021579,0.2416927436177928,30.875829577643486,29.856921614292677,28.470232739418435,49185.25,8,0.012718119801091776,0.005783506384365089,2.405596838225051,1.3866888748742419
8,-32,-10,equal,eqopp,0.2568289751939818,0.2478555732949921,0.2416927436177927,30.682419024618092,29.639422393766665,28.470232739418435,47290.142857142855,7,0.015136231576189096,0.006162829677199416,2.2121862851996568,1.16918965434823
12,-32,-10,equal,eqopp,0.2570723862893787,0.2484308206668133,0.2416927436177927,30.989016710852912,29.84888615964653,28.470232739418435,48719.857142857145,7,0.01537964267158598,0.006738077049020602,2.518783971434477,1.378653420228094
8,-16,-9,equal,eqopp,0.257333166093974,0.2512637687510711,0.2470790071479909,30.342154977292783,29.461145968370307,28.470232739418435,47716.0,7,0.01025415894598311,0.004184761603080206,1.8719222378743474,0.9909132289518716
12,-16,-9,equal,eqopp,0.2597162844316772,0.2524551520885091,0.2470790071479909,30.75948335593784,29.74932781378616,28.470232739418435,51176.857142857145,7,0.012637277283686327,0.005376144940518218,2.2892506165194035,1.2790950743677243
16,-24,-9,equal,eqopp,0.2635189981102763,0.2550366351222937,0.2470790071479909,31.041445733020726,29.943876654616115,28.470232739418435,50762.5,6,0.016439990962285406,0.0079576279743028,2.571212993602291,1.4736439151976803
16,-32,-9,equal,eqopp,0.2658709219942177,0.2557669509870164,0.2470790071479909,31.337177600438935,30.085644074484687,28.470232739418435,51906.0,7,0.018791914846226804,0.00868794383902552,2.8669448610204995,1.615411335066252
20,-32,-9,equal,eqopp,0.2640851702899446,0.2559598875885798,0.2470790071479909,31.25871027266819,30.08478794799313,28.470232739418435,51454.28571428572,7,0.017006163141953717,0.008880880440588906,2.788477533249754,1.6145552085746964
8,-40,-9,equal,eqopp,0.2665396598894247,0.2567712299107683,0.2470790071479909,31.1058674450674,29.88118824520998,28.470232739418435,50711.16666666666,6,0.019460652741433798,0.009692222762777397,2.6356347056489646,1.410955505791545
16,-16,-8,equal,eqopp,0.2691569193161008,0.2608553142071931,0.2521252173733977,31.00763909098541,29.921274255678924,28.470232739418435,53469.16666666666,6,0.017031701942703092,0.008730096833795387,2.5374063515669754,1.4510415162604886
12,-32,-8,equal,eqopp,0.273605674142223,0.264075779785547,0.2521252173733977,31.410330759940223,30.09305409461638,28.470232739418435,52062.5,6,0.021480456768825262,0.011950562412149313,2.9400980205217877,1.6228213551979458
16,-32,-8,equal,eqopp,0.2734026041642184,0.2643014051991654,0.2521252173733977,31.6548393323291,30.255864819947703,28.470232739418435,56030.142857142855,7,0.021277386790820696,0.012176187825767681,3.184606592910665,1.7856320805292683
8,-40,-8,equal,eqopp,0.2736335959753601,0.2642308960166777,0.2521252173733977,31.208980259070103,29.900448788012408,28.470232739418435,52424.57142857143,7,0.021508378601962364,0.012105678643279993,2.7387475196516675,1.430216048593973
20,-40,-8,equal,eqopp,0.275428870209948,0.2658005495791772,0.2521252173733977,31.79867280740302,30.34288316224387,28.470232739418435,54288.333333333336,6,0.02330365283655028,0.013675332205779489,3.328440067984584,1.8726504228254335
8,-16,-7,equal,eqopp,0.2768390599736773,0.2660394445379582,0.2547831800793958,30.72178242487504,29.64853499989325,28.470232739418435,55538.0,7,0.022055879894281483,0.01125626445856237,2.251549685456606,1.1783022604748155
16,-24,-7,equal,eqopp,0.2787743745617681,0.2673965881258736,0.2547831800793958,31.523100317004022,30.16637930495399,28.470232739418435,56106.16666666666,6,0.023991194482372302,0.012613408046477759,3.0528675775855874,1.6961465655355532
