Unnamed: 0,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces,max_increase_unfairness_risk,avg_increase_unfairness_risk,avg_increase_gap_tpr,avg_increase_gap_fpr,avg_increase_gap_precision,avg_increase_gap_f1,avg_increase_gap_accuracy
1,xgboost,0.4,expectation,expectation,0.0341898798942565,0.0184792932122945,0.0011719241738319,0.1292670292670293,0.1029998186998187,0.1078736078736078,0.0444938917134564,0.0259838889642891,1.885707631735928e-05,0.0520403182643098,0.0385083339162821,0.0331749369892921,0.06168309698311,0.050321908262469,0.0191075393888124,0.0413550672087586,0.0219465173665203,0.0058753669287801,0.6714335216572505,0.1459822395533301,0.1119012555714129,0.1872418862148763,0.8498203307645685,10,0.033017955720424604,0.017307369038462597,-0.004873789173789098,0.02596503188797174,0.005333396926989996,0.031214368873656605,0.016071150437740198
3,xgboost,0.5,expectation,expectation,0.0340361818671226,0.0183720625936985,0.0011719241738319,0.1584045584045584,0.1307312872312872,0.1340326340326339,0.0416701231389993,0.022688575702195,0.0017892260762002,0.067661767033751,0.0484000897004623,0.0125695335900727,0.0683987390462771,0.0491406556970812,0.0237617025012895,0.0366183709185079,0.0179882364732588,0.0089834287544596,0.584132956685499,0.0889837550405459,0.1558232754659218,0.2378944560792767,0.9035015239414668,10,0.032864257693290704,0.0172001384198666,-0.003301346801346694,0.0208993496259948,0.0358305561103896,0.025378953195791698,0.0090048077187992
12,mlp,0.6,expectation,expectation,0.0256032198667526,0.014474034230411,0.0038971900939941,0.1044418544418544,0.0816447034447034,0.0726495726495726,0.0169324687570556,0.0114392821702748,0.0057837030937139,0.0521363458799618,0.024401562407827,0.0436183081553999,0.0678444029665368,0.0379261383944346,0.0579493742889647,0.0224302234709384,0.0176465120130422,0.0127442923814157,0.4362625235404896,0.0380695971994505,0.2364669719431504,0.2970530424989877,0.9498458221491038,10,0.0217060297727585,0.0105768441364169,0.008995130795130798,0.0056555790765609,-0.019216745747572903,-0.020023235894530096,0.004902219631626499
14,xgboost,0.3,same,expectation,0.0318090431392192,0.017378456890583,0.0011719241738319,0.1127557627557627,0.0816937321937321,0.1033411033411033,0.0443609110108735,0.0291094134303778,0.0047723491903939,0.0397500638075362,0.0297169544810854,0.0367442195967167,0.0549028361082693,0.0456178942429483,0.0412873090016625,0.0429771710931229,0.0263090408610852,1.127365334552266e-05,0.7487932203389831,0.2217257854389152,0.0811787259002905,0.1446364642579714,0.7775964758853581,10,0.0306371189653873,0.0162065327167511,-0.021647371147371197,0.0243370642399839,-0.0070272651156312975,0.004330585241285802,0.026297767207739676
16,xgboost,0.45,same,expectation,0.0314995944499969,0.0172268263995647,0.0011719241738319,0.1434990934990934,0.118795053095053,0.1134421134421134,0.0404399726410445,0.0221109460785576,0.0021698988606597,0.0527774990096283,0.0406302930078296,0.0230291447682751,0.0618378149729918,0.0463851062794485,0.0004824522035724,0.0361479762254928,0.0178653105315756,0.0084488948112075,0.6267065913370998,0.1135792972038817,0.1328038311269497,0.2129969517906886,0.8804501342107542,10,0.030327670276164998,0.0160549022257328,0.005352939652939606,0.0199410472178979,0.0176011482395545,0.0459026540758761,0.009416415720368098
18,xgboost,0.55,same,expectation,0.0312802717089653,0.0170128606259822,0.0011719241738319,0.177013727013727,0.148359829059829,0.1206941206941207,0.045815782243191,0.0227286258160405,0.0006083638835876,0.0778895680624027,0.0571007940193449,0.0216739637595474,0.077291138577853,0.0479501065365179,0.0228472930278493,0.0391825000706864,0.0177932204619581,0.0079265538967744,0.5314900188323917,0.0656947223822395,0.1847568626363789,0.2648483775762369,0.9250449562732704,10,0.0301083475351334,0.0158409364521503,0.027665708365708308,0.022120261932452902,0.035426830259797495,0.0251028135086686,0.009866666565183698
27,mlp,0.7,same,expectation,0.0248966455459594,0.0142416316911578,0.0038971900939941,0.0912846412846412,0.0659223258223258,0.0619010619010619,0.0125931173804416,0.0077226632969879,0.0036990995212814,0.0797766055423171,0.0453948092172031,0.0664335664335664,0.0790870252674843,0.0540657423817626,0.0663323504724189,0.0192047106749499,0.0146296535757044,0.0113330811732581,0.3449905838041431,0.0189060043426241,0.3160919213846086,0.3232609043694403,0.9664706121742144,10,0.020999455451965302,0.0103444415971637,0.004021263921263896,0.0040235637757065,-0.021038757216363307,-0.012266608090656293,0.0032965724024462996
31,xgboost,0.5,random_1,expectation,0.0338462591171264,0.0181268341839313,0.0011719241738319,0.1609039109039109,0.1325607096607096,0.1340326340326339,0.0421689469219516,0.0221959664595258,0.0017892260762002,0.0649139203538188,0.047616576576488,0.0125695335900727,0.0689183071335404,0.0480676467557654,0.0237617025012895,0.0370740314891826,0.017619131404799,0.0089834287544596,0.5894071563088513,0.0883283201134399,0.1580958084216871,0.2410531104767179,0.904263139665772,10,0.032674334943294504,0.016954910010099397,-0.0014719243719243102,0.0204067403833256,0.0350470429864153,0.0243059442544759,0.008635702650339399
32,xgboost,0.55,random_1,expectation,0.034010212868452,0.0181287452578544,0.0011719241738319,0.1767547267547267,0.1461118622118621,0.1206941206941207,0.0465511308004864,0.0221156678604478,0.0006083638835876,0.0754235373734105,0.0564273628544029,0.0216739637595474,0.0773155465409758,0.0473062189669815,0.0228472930278493,0.0399807093925267,0.0172669740797006,0.0079265538967744,0.5328482109227872,0.0655226658395001,0.1852570084962297,0.2655422562060618,0.9252442808901202,10,0.032838288694620105,0.016956821084022498,0.0254177415177414,0.0215073039768602,0.034753399094855496,0.0244589259391322,0.0093404201829262
33,xgboost,0.6,random_1,expectation,0.0336057171225547,0.0180569924414157,0.0011719241738319,0.182051282051282,0.1490358715358715,0.1109816109816109,0.0398903698404329,0.0161304951171469,0.0011243699627235,0.0830530971689069,0.0564718548677495,0.0175654853620955,0.0756703496336078,0.0411675949747458,0.0307098916121473,0.0322004612913686,0.0125752318921163,0.0084611330552137,0.4907529190207157,0.0469238091017857,0.2226500443414095,0.2970773146193926,0.9424478396397956,10,0.032433792948722805,0.0168850682675838,0.0380542605542606,0.015006125154423402,0.038906369505654,0.010457703362598499,0.004114098836902599
